NCTID,Input,Phrase,Score,CUI,String,Preferred Name,Vocab,Semantic Type
NCT00097734,hypersensitivity,hypersensitivity,1000,C0020517,Hypersensitivity ,Hypersensitivity ,"LNC,SNOMEDCT_US",Pathologic Function
NCT00097734,beta-lactam antibiotics,beta-lactam antibiotics,1000,C0026458,Monobactam,Monobactams,SNOMEDCT_US,"Antibiotic,Organic Chemical"
NCT00097734,Female,Female,1000,C0043210,Woman ,Woman ,SNOMEDCT_US,Population Group
NCT00097734,pregnant,pregnant,1000,C0549206,Patient currently pregnant ,Patient currently pregnant ,"LNC,SNOMEDCT_US,SNOMEDCT_VET",Finding
NCT00097734,another study drug,another study drug,901,C0013175,Clinical drug trial,Drug Evaluation,SNOMEDCT_US,Research Activity
NCT00097734,another drug,another drug,861,C0013227,Drugs,Pharmaceutical Preparations,"LNC,SNOMEDCT_US",Pharmacologic Substance
NCT00097734,within the four weeks,within the four weeks,812,C0439230,week ,week ,"LNC,SNOMEDCT_US",Temporal Concept
NCT00097734,within the four weeks,within the four weeks,812,C0205450,Four ,Four ,SNOMEDCT_US,Quantitative Concept
NCT00097734,symptoms,symptoms,1000,C1457887,Symptoms ,Symptoms ,"LNC,SNOMEDCT_US",Sign or Symptom
NCT00097734,sigmoid diverticulitis,sigmoid diverticulitis,861,C0012813,Diverticulitis ,Diverticulitis ,SNOMEDCT_US,Disease or Syndrome
NCT00097734,sigmoid diverticulitis,sigmoid diverticulitis,861,C0227391,Sigmoid colon ,Sigmoid colon ,"LNC,SNOMEDCT_US","Body Part, Organ, or Organ Component"
NCT00097734,* Fever ( body temperature,* Fever,1000,C0015967,Fever ,Fever ,"LNC,SNOMEDCT_US",Sign or Symptom
NCT00097734,* Fever ( body temperature,( body temperature,1000,C0005903,Body temperature,Body Temperature,"LNC,SNOMEDCT_US",Organism Attribute
NCT00097734,Abdominal tenderness,Abdominal tenderness,1000,C0232498,Abdominal tenderness ,Abdominal tenderness ,SNOMEDCT_US,Sign or Symptom
NCT00097734,* Leukocytosis,* Leukocytosis,1000,C0023518,Leukocytosis ,Leukocytosis ,SNOMEDCT_US,Disease or Syndrome
NCT00097734,leukocytes,leukocytes,1000,C0023516,Leukocytes ,Leukocytes ,"LNC,SNOMEDCT_US",Cell
NCT00097734,differential blood count,differential blood count,827,C0229664,"Peripheral blood, NOS",peripheral blood,SNOMEDCT_US,Body Substance
NCT00097734,differential blood count,differential blood count,827,C0443199,Differential,Differential quality,"LNC,SNOMEDCT_US",Qualitative Concept
NCT00097734,* Elevated CRP,* Elevated CRP,1000,C0742906,Elevated C-reactive protein ,Elevated C-reactive protein ,SNOMEDCT_US,Finding
NCT00097734,> 38  degrees C,> 38  degrees C,901,C0439237,degrees Celsius ,degrees Celsius ,SNOMEDCT_US,Quantitative Concept
NCT00097734,"> 10,000 / ul","> 10,000 / ul",827,C1300557,/mm3 ,/mm3 ,SNOMEDCT_US,Quantitative Concept
NCT00097734,"> 10,000 / ul","> 10,000 / ul",827,C3842590,10% ,10% ,LNC,Quantitative Concept
NCT00097734,> 1 %,> 1 %,1000,C3816745,1+ ,1+ ,LNC,Finding
NCT00097734,> 20 mg/l,> 20 mg/l,901,C0439268,gram/cubic meter,Microgram per Milliliter,SNOMEDCT_US,Quantitative Concept
NCT00097734,> 20 mg/l,> 20 mg/l,901,C3842589,20% ,20% ,LNC,Quantitative Concept
NCT00097734,sigmoid diverticulitis,sigmoid diverticulitis,861,C0012813,Diverticulitis ,Diverticulitis ,SNOMEDCT_US,Disease or Syndrome
NCT00097734,sigmoid diverticulitis,sigmoid diverticulitis,861,C0227391,Sigmoid colon ,Sigmoid colon ,"LNC,SNOMEDCT_US","Body Part, Organ, or Organ Component"
NCT00097734,contrast enema,contrast enema,1000,C1282538,Contrast enema ,Contrast enema ,SNOMEDCT_US,Diagnostic Procedure
NCT00097734,Central African Republic,Central African Republic,1000,C0007673,Central African Republic ,Central African Republic ,SNOMEDCT_US,Geographic Area
